_class,id,title,name,display_name,job_title,image_50x50,image_100x100,initials,url
user,9685726,Jose Portilla,Jose,Jose Portilla,Head of Data Science at Pierian Training,https://img-c.udemycdn.com/user/50x50/9685726_67e7_4.jpg,https://img-c.udemycdn.com/user/100x100/9685726_67e7_4.jpg,JP,/user/joseportilla/
user,31334738,Dr. Angela Yu,Dr. Angela,Dr. Angela Yu,Developer and Lead Instructor,https://img-c.udemycdn.com/user/50x50/31334738_a13c_3.jpg,https://img-c.udemycdn.com/user/100x100/31334738_a13c_3.jpg,DY,/user/4b4368a3-b5c8-4529-aa65-2056ec31f37e/
user,4466306,Colt Steele,Colt,Colt Steele,Developer and Bootcamp Instructor,https://img-b.udemycdn.com/user/50x50/4466306_6fd8_3.jpg,https://img-b.udemycdn.com/user/100x100/4466306_6fd8_3.jpg,CS,/user/coltsteele/
user,13952972,Maximilian Schwarzmüller,Maximilian,Maximilian Schwarzmüller,"AWS certified, Professional Web Developer and Instructor",https://img-b.udemycdn.com/user/50x50/13952972_e853.jpg,https://img-b.udemycdn.com/user/100x100/13952972_e853.jpg,MS,/user/maximilian-schwarzmuller/
user,599932,Tim Buchalka,Tim,Tim Buchalka,Java Python Android and C# Expert Developer - 1.28M students,https://img-c.udemycdn.com/user/50x50/599932_71aa_5.jpg,https://img-c.udemycdn.com/user/100x100/599932_71aa_5.jpg,TB,/user/timbuchalka/
user,31926668,Academind by Maximilian Schwarzmüller,Academind by Maximilian,Academind by Maximilian Schwarzmüller,Online Education,https://img-c.udemycdn.com/user/50x50/31926668_94e7_6.jpg,https://img-c.udemycdn.com/user/100x100/31926668_94e7_6.jpg,AS,/user/academind/
user,7799204,Jonas Schmedtmann,Jonas,Jonas Schmedtmann,"Web Developer, Designer, and Teacher",https://img-c.udemycdn.com/user/50x50/7799204_2091_5.jpg,https://img-c.udemycdn.com/user/100x100/7799204_2091_5.jpg,JS,/user/jonasschmedtmann/
user,2364054,Kirill Eremenko,Kirill,Kirill Eremenko,Data Scientist,https://img-c.udemycdn.com/user/50x50/2364054_83cd_5.jpg,https://img-c.udemycdn.com/user/100x100/2364054_83cd_5.jpg,KE,/user/kirilleremenko/
user,8280056,365 Careers,365,365 Careers,Creating opportunities for Data Science and Finance students,https://img-c.udemycdn.com/user/50x50/8280056_7887_3.jpg,https://img-c.udemycdn.com/user/100x100/8280056_7887_3.jpg,3C,/user/365careers/
user,13922584,Al Sweigart,Al,Al Sweigart,"Software developer, tech book author",https://img-c.udemycdn.com/user/50x50/13922584_4ff5_2.jpg,https://img-c.udemycdn.com/user/100x100/13922584_4ff5_2.jpg,AS,/user/al-sweigart/
